=== 시트1: 값 변경됨 (기존 값 덮어씌워진 것, 즉시 확인 필요) ===
catalog_section,modelName,label,기존값(원본),현재값(확충후),올바른값(직접입력)
XPANEL 카탈로그,XT07CD-DN,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DN,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DN,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DN,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DN,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT07CD-DE,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DE,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DE,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DE,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DE,입력 전원,AC 100-240V,DC 24V,
XPANEL 카탈로그,XT10CD-D,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-D,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-D,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-D,소비전력,약 15 W,9W,
XPANEL 카탈로그,XT10CD-D,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT10CD-A,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-A,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-A,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-A,오디오,오디오 포트 내장,없음,
XPANEL 카탈로그,XT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT12CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT15CD-A,입력 전원,DC 24V (±15%),AC 100~240V,

=== 시트2: 신규 추가된 catalog 항목 (확충시 추가, 검증 필요) ===
catalog_section,modelName,label,현재값,올바른값(직접입력_맞으면그대로_틀리면수정_없는항목이면DELETE)
IPC 카탈로그,iNT(iNP)515-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(iNP)519-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,iNT(iNP)519-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,NT(NP)3612-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,NT(NP)3612-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,NT(NP)3615-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,NT(NP)3615-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,NT(NP)5615-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,NT(NP)5615-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(NP)5619-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,iNT(NP)5619-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(iNP)51121W-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(iNP)71115W-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(iNP)71121W-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,iNT(iNP)71121W-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,CM-IM15W-C(H)-D,영상 입력,HDMI × 1, DP × 1, DVI × 1, VGA × 1,
IPC 카탈로그,CM-IM21W-C(H)-D,영상 입력,HDMI × 1, DP × 1, DVI × 1, VGA × 1,
IPC 카탈로그,NU4R56-A,스토리지,SSD 250GB + HDD Bay (Hot Swap),
IPC 카탈로그,NU4R76-A,스토리지,SSD 250GB + HDD Bay (Hot Swap),
SCADA 카탈로그,CM01-0075/DS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0075/DS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0075/DS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0075/DS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0075/DS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0075/DS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0075/DS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0075/DS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0075/RS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0075/RS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0075/RS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0075/RS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0075/RS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0075/RS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0075/RS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0075/RS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150/DS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150/DS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150/DS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150/DS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150/DS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150/DS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150/DS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150/DS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150/RS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150/RS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150/RS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150/RS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150/RS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150/RS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150/RS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150/RS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500/DS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500/DS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500/DS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500/DS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500/DS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500/DS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500/DS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500/DS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500/RS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500/RS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500/RS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500/RS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500/RS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500/RS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500/RS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500/RS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL/DS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL/DS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL/DS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL/DS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL/DS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL/DS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL/DS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL/DS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL/RS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL/RS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL/RS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL/RS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL/RS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL/RS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL/RS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL/RS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-02/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-02/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-02/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-02/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-02/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-02/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-02/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-02/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-05/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-05/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-05/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-05/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-05/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-05/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-05/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-05/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-10/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-10/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-10/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-10/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-10/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-10/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-10/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-10/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-FU/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-FU/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-FU/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-FU/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-FU/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-FU/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-FU/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-FU/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-02/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-02/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-02/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-02/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-02/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-02/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-02/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-02/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-05/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-05/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-05/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-05/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-05/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-05/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-05/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-05/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-10/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-10/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-10/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-10/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-10/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-10/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-10/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-10/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-FU/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-FU/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-FU/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-FU/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-FU/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-FU/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-FU/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-FU/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-02/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-02/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-02/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-02/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-02/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-02/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-02/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-02/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-05/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-05/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-05/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-05/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-05/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-05/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-05/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-05/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-10/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-10/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-10/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-10/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-10/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-10/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-10/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-10/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-FU/VS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-FU/VS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-FU/VS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-FU/VS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-FU/VS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-FU/VS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-FU/VS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-FU/VS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-02/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-02/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-02/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-02/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-02/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-02/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-02/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-02/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-05/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-05/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-05/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-05/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-05/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-05/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-05/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-05/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-10/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-10/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-10/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-10/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-10/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-10/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-10/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-10/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0150-FU/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0150-FU/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0150-FU/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0150-FU/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0150-FU/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0150-FU/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0150-FU/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0150-FU/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-02/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-02/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-02/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-02/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-02/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-02/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-02/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-02/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-05/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-05/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-05/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-05/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-05/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-05/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-05/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-05/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-10/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-10/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-10/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-10/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-10/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-10/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-10/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-10/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-0500-FU/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-0500-FU/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-0500-FU/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-0500-FU/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-0500-FU/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-0500-FU/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-0500-FU/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-0500-FU/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-02/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-02/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-02/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-02/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-02/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-02/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-02/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-02/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-05/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-05/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-05/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-05/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-05/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-05/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-05/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-05/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-10/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-10/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-10/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-10/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-10/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-10/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
SCADA 카탈로그,CM01-FULL-10/CS,데이터베이스,MS SQL, MySQL, Oracle 연동,
SCADA 카탈로그,CM01-FULL-10/CS,스크립트,VBScript 기반,
SCADA 카탈로그,CM01-FULL-FU/CS,지원 OS,Windows 10/11 (64bit),
SCADA 카탈로그,CM01-FULL-FU/CS,지원 드라이버,600종 이상 (PLC, Inverter, 계측기 등),
SCADA 카탈로그,CM01-FULL-FU/CS,트렌드,실시간 / 히스토리 트렌드,
SCADA 카탈로그,CM01-FULL-FU/CS,알람,알람 목록 / 알람 히스토리,
SCADA 카탈로그,CM01-FULL-FU/CS,레포트,일보 / 주보 / 월보,
SCADA 카탈로그,CM01-FULL-FU/CS,통신 프로토콜,OPC DA/UA, Modbus, CIMON, PROFIBUS 등,
